0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/team/team-1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/team/team-2.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/team/team-3.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/team/team-4.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/more-services-1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/more-services-2.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/more-services-3.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/more-services-4.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:23:47 +0900] "GET /finalProject/assets/img/favicon.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/vendor/aos/aos.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 885
