127.0.0.1 - - [20/Dec/2022:21:16:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/U-main.jsp HTTP/1.1" 200 17136
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/css/style.css HTTP/1.1" 200 28290
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16468
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143629
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/hero-img.png HTTP/1.1" 200 41329
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 200 82156
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 200 100174
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 200 81363
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/js/main.js HTTP/1.1" 200 6315
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 200 12377
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 200 122008
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 200 25598
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 200 58756
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:47 +0900] "GET /POLLJJAK/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 200 15876
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:56 +0900] "GET /POLLJJAK/Inner-page.jsp HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [20/Dec/2022:21:16:56 +0900] "GET /POLLJJAK/assets/vendor/php-email-form/validate.js HTTP/1.1" 404 872
